addr,rooms,ruler,floor,price,descr,lat,lon
Northern av.,5 room,331 m2," floor 4/9 , new construction "," Sale - 930,000 $ "," Four - bedroom spacious apartment on the Northern avenue is currently for sale. It covers an area of 331 sq.m. and occupies the 4th floor of a new residential 9 storey building. The apartment is being renovated, the layout of the rooms is arranged. With a surcharge underground parking for 2 cars will be provided. ",40.18374521,44.51454618
Mashtots avenue,3 room,124 m2," floor 10/13 , new construction "," Sale - 360,000 $ "," This 1 bedroom apartment occupying the 8th floor of a 13 story building located on the Mashtots ave. in Downtown Yerevan is currently for rent. Electricity, gas, internet an cable are available at this location. Nearby, you can find lots of small cafes, stores, and supermarkets as well as lots of sighting places of Downtown Yerevan. The apartment has been fully renovated and never lived in. Outdoor parking is available. ",40.1855108,44.51179587
Pushkin,3 room,142 m2," floor 14/18 , new construction "," Sale - 520,000 $ "," For sale is a 2-bedroom, 2-bathroom apartment with an area of 142 sqm on the 14th floor of an 18-story new building in the city center, on Pushkin Street, near the Northern Avenue. The apartment is completely renovated, the floor is covered with parquet, bathrooms are tiled. The heating system is centralized. The apartment has 2 open balconies with views of the square and Mount Ararat. The house has 2 elevators and a security system. Nearby are all the necessary shops and entertainment venues. ",40.18223151,44.51307266
Khorenatsi,2 room,47 m2, floor 7/9 ," Sale - 77,000 $ "," For sale is а 1-bedroom, 1-bathroom apartment with an area of 47 sqm on the 7th floor of a 9-story panel house on Khorenatsi Street, near the gold market, Central Bank, Republic Square. The apartment is completely renovated, a local heating system is installed, the floor is covered with high-quality laminate and press granite. The bathroom is lined with Spanish tiles and equipped with plumbing. The apartment is sold with furniture and appliances. The building has an elevator and an intercom. ",40.17528587,44.50974618
Pushkin,3 room,64 m2, floor 4/4 ," Sale - 153,000 $ ", Two - bedroom apartment on Pushkin street is currently for rent or for sale. It covers an area of 64 sq.m. and occupies the 4th floor of a 4 storey building. The apartment is renovated. Local heating system and air conditioner are installed. All the rooms are furnished and equipped with the necessary appliances. Tableware and bed linen are provided. Cable TV and Internet are installed. Cars can be parked in the yard. ,40.18331694,44.51135433
V.Sarksyan,3 room,225 m2," floor 8/10 , new construction ", Sale - on request ," For sale is a 2-bedroom, 1-bathroom spacious luxury apartment with an area of 225 sq. m. on the 8th floor of the 10-story new Piazza Grande building on V. Sargsyan Street, near the Republic Square. The apartment is completely renovated. A local heating and air conditioning system is installed. All rooms and kitchen are equipped with modern furniture. The apartment has a large open balcony with a wonderful view of the city. There is a service charge for the building, which includes free use of the gym, sauna and swimming pool. On the ground floor of the building there are cafes, aesthetic centers, banks. Sold together with furniture and appliances. ",40.17626661,44.51137947
Vardanants 20,2 room,36 m2, floor 4/4 ," Sale - 67,000 $ "," Single bedroom apartment with 36 sq.m. area is for sale on the top floor of a 4 storied residential building in Aleq Manukyan. The apartment is fully repaired. The entrance door is metallic, the windows are modern plastic ones, installed air conditioner. Water and gas are twenty-four hours, apartment is heating by a gas boiler. The kitchen and the bathroom are tiled and equipped with sanitary ware. There is a built-in wardrobes, cupboards in the kitchen and the hallway. All the necessary shops are nearby. ",40.17543057,44.5202394
M. Baghramyan ave.,3 room,116 m2," floor 12/15 , new construction "," Sale - 320,000 $ "," Two - bedroom spacious and comfortable apartment on M.Baghramyan avenue is currently for sale. It covers an area of 116 sq.m. and occupies the 12th floor of a new residential 15 storey building. The apartment is renovated. Local heating system and security system are installed. Two open balconies are available. With a surcharge, 2 underground parking spots can be purchased. ",40.19322482,44.49793369
Teryan,3 room,100 m2, floor 2/5 ," Sale - 250,000 $ "," Two - bedroom, two-bathroom apartment on Teryan street, next to the cafe ""Aragast"" and restaurant L'Orange is currently for sale. It covers an area of 100 sq.m. and occupies the 2nd floor of a 5-story building. The apartment is newly renovated. Local heating system is installed. Pharmacy, bank branches, school N 19 and the bus stop are located nearby. ",40.18587,44.51775098
Komitas ave.,4 room,150 m2," floor 16/18 , new construction ", Sale - on request ," At the intersection of V. Vagharshyan Street and Komitas Avenue, on the 16th floor of an 18-story new building for sale is a 3-bedroom, 3-bathroom apartment with an area of 148 sqm. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with hardwood. The bathroom is tiled and equipped with plumbing. There is a laundry room and 2 open balconies facing in different directions. The apartment is furnished and equipped. Parking for cars is available at an additional cost. Near the house there are shops, schools, kindergartens, entertainment venues. Sold with furniture and appliances. ",40.203484,44.499404
Bayron,4 room,210 m2," floor 5/8 , new construction "," Sale - 850,000 $ "," For sale is a 3-bedroom, 2-bathroom spacious, elegantly decorated apartment of 209 sqm on the 5th floor of an 8-story new building on Byron Street. The apartment is completely renovated, the floor in the hall and kitchen is tiled, and in the bedroom and living room is covered with hardwood. The heating and cooling system are centralized. There is a furnished outdoor balcony. There is a utility room and a dressing room. The apartment is furnished with unique, high-quality and comfortable furniture. The house has a swimming pool, 24-hour security, near the apartment there is an underground parking. There is an underground parking space with additional fee of 60.000 $. ",40.18692003,44.51781178
Abovyan,3 room,114 m2, floor 6/6 ," Sale - 270,000 $ "," Two - bedroom sunny and spacious apartment located on Abovyan street is currently for sale. It covers an area of 114 sq.m. and occupies the 6th floor of a 6 storey building. The apartment is fully renovtaed according to the latest European standards. Centralized heating system is installed. All the rooms are modernly and uniquely designed and furnished, inbuilt wardrobes are available. ",40.18280858,44.51840239
Rostomi 29,4 room,164 m2," floor 9/17 , new construction "," Sale - 255,000 $ "," Three - bedroom apartment near the school after Nar Dos in front of Gum market is currently for sale or rent. It covers an area of 164.40 sq.m. and occupies the 9th floor of a new residential 17 storey building. The apartment is renovated. The kitchen is finely furnished. There are two open balconies: one with a view towards the yard and another with a view towards mountain Masis. A playground is available in the yard. Numerous shops, a school, a kindergarten and bank branches, as well as ""Tashir"" shopping center are located nearby. ",40.16719818,44.51839828
Nalbandyan,3 room,130 m2, floor 5/6 , Sale - on request ," Two - bedroom apartment on Nalbandyan street near the Republic Square is currently for sale. It covers an area of 130 sq.m. and occupies the 5th floor of a 6 storey building. The apartment is renovated. Local heating system, heating floors and air ventilation system are installed. All the rooms are furnished. The apartment has 1 open balcony and a laundry room. Open air parking is allocated for cars. ",40.1794685,44.51533475
Northern av. 5,5 room,310 m2," floor 10/10 , new construction "," Sale - 1,550,000 $ "," 4- bedroom, 5-bathroom apartment on Northern Avenue is currently for sale. It covers an area of 310 sq.m. and occupies the 10th floor of a 10-storey new building. The apartment is newly renovated. Centralized heating and air conditioning system is installed. The apartment has 2 open balconies with a nice view. 2 underground parking spots are available. The apartment is for sale together with furniture and home appliances. Restaurant ""La Piazza"", bank branches are located nearby. ",40.182066,44.515394
Northern av.,4 room,150 m2," floor 4/10 , new construction ", Sale - on request ," Three - bedroom, three-bathroom apartment on Northern Avenue is currently for sale. It covers an area of 150 sq.m. and occupies the 4th floor of a 10-storey new building. The apartment is fully renovated. Centralized heating and air conditioning system is installed. The apartment is furnished and equipped with the necessary appliances. An open balcony with a nice view of Northern Avenue is available. Sold with furniture, appliances and parking space for 2 cars. ",40.1818799,44.51367959
Buzand,3 room,121 m2," floor 6/8 , new construction "," Sale - 600,000 $ "," A 2-bedroom, 2-bathroom apartment is for sale on the crossroads of Buzand and M. Adamyan, nearby the Republic Square. This renovated apartment covers 121 square meters and occupies the 6th floor of an 8-story new building. Centralized heating and air conditioning system is installed. The apartment also has two balconies with a view of the city. Underground parking spots can be purchased additionally. ",40.17699653,44.5157217
Amiryan,3 room,160 m2," floor 12/15 , new construction "," Sale - 550,000 $ "," Two - bedroom spacious and sunny apartment on Amiryan street is currently for sale or for rent. It covers an area of 160 sq.m. and occupies the 12th floor of a new residential 15 storey building. The apartment is renovated. Centralized heating system and air conditioners are installed. All the rooms are furnished and equipped with the necessary appliances. An open balcony with an amazing view towards the city is available. Underground parking is provided. Cultural sites of the city, as well as many cafes, restaurants, and a supermarket are located nearby. The apartment is for sale together with furniture. ",40.18190002,44.50590134
Sayat-Nova ave. 14,2 room,60 m2, floor 3/5 ," Sale - 200,000 $ ", One - bedroom apartment on Sayat-Nova avenue is for sale or for rent. It covers an area of 60 sq.m. and occupies the 3rd floor of a 5 storey building. The apartment is fully renovated. Local heating system and air conditioner are installed. The apartment is furnished and equipped with appliances. There is an open balcony with a view over the street. Cars can be parked in the yard. ,40.1822126,44.52029381
A. Myasnikyan ave.,2 room,69 m2," floor 8/17 , new construction "," Sale - 34,500,000 Դ "," For sale is a comfortable 2-room apartment with an area of 69 sqm on the 8th floor of a 17-story new building. The apartment is in zero condition. Central heating is installed, walls are plastered, electric wires are laid, water supply is connected. There are 2 bathrooms and an open balcony. The ""Nork"" residential complex near Myasnikyan Avenue offers 2, 3 and 4-room room apartments in zero condition, as well as partially renovated apartments. The complex consists of 9 buildings of 9, 10 and 17 floors. Thanks to high-quality engineering and technical developments, the rooms are bright and comfortable, security is provided. On the territory there is an underground parking, fenced green area, playground and security. High-quality elevators are installed in the buildings. There are recreation areas, alleys and a bike path for fans of a healthy lifestyle. Security and cleaning services are available around the clock. The residential complex has a very convenient location. Within the promotion, the price ranges from 500.000 to 550.000 drams per sqm. You can buy an apartment under the income tax law directly from the developer. ",40.19318237,44.54068892
A. Myasnikyan ave.,2 room,70 m2," floor 6/10 , new construction "," Sale - 36,750,000 Դ "," For sale is a comfortable 2-room apartment with an area of 70 sqm on the 6th floor of a 10-story new building. The apartment is in zero condition. Central heating is installed, walls are plastered, electric wires are laid, water supply is connected. There are 2 bathrooms and an open balcony. The ""Nork"" residential complex near Myasnikyan Avenue offers 2, 3 and 4-room room apartments in zero condition, as well as partially renovated apartments. The complex consists of 9 buildings of 9, 10 and 17 floors. Thanks to high-quality engineering and technical developments, the rooms are bright and comfortable, security is provided. On the territory there is an underground parking, fenced green area, playground and security. High-quality elevators are installed in the buildings. There are recreation areas, alleys and a bike path for fans of a healthy lifestyle. Security and cleaning services are available around the clock. The residential complex has a very convenient location. Within the promotion, the price ranges from 500.000 to 550.000 drams per sqm. You can buy an apartment under the income tax law directly from the developer. ",40.19337792,44.54067261
A. Myasnikyan ave.,2 room,80 m2," floor 4/17 , new construction "," Sale - 40,000,000 Դ "," For sale is a comfortable 2-room apartment with an area of 80 sqm on the 4th floor of a 17-story new building. The apartment is in zero condition. Central heating is installed, walls are plastered, electric wires are laid, water supply is connected. There are 2 bathrooms and an open balcony. The ""Nork"" residential complex near Myasnikyan Avenue offers 2, 3 and 4-room room apartments in zero condition, as well as partially renovated apartments. The complex consists of 9 buildings of 9, 10 and 17 floors. Thanks to high-quality engineering and technical developments, the rooms are bright and comfortable, security is provided. On the territory there is an underground parking, fenced green area, playground and security. High-quality elevators are installed in the buildings. There are recreation areas, alleys and a bike path for fans of a healthy lifestyle. Security and cleaning services are available around the clock. The residential complex has a very convenient location. Within the promotion, the price ranges from 500.000 to 550.000 drams per sqm. You can buy an apartment under the income tax law directly from the developer. ",40.19326465,44.54101078
A. Myasnikyan ave.,2 room,87 m2," floor 8/17 , new construction "," Sale - 43,500,000 Դ "," For sale is a comfortable 2-room apartment with an area of 87 sqm on the 8th floor of a 17-story new building. The apartment is in zero condition. Central heating is installed, walls are plastered, electric wires are laid, water supply is connected. There are 2 bathrooms and an open balcony. The ""Nork"" residential complex near Myasnikyan Avenue offers 2, 3 and 4-room room apartments in zero condition, as well as partially renovated apartments. The complex consists of 9 buildings of 9, 10 and 17 floors. Thanks to high-quality engineering and technical developments, the rooms are bright and comfortable, security is provided. On the territory there is an underground parking, fenced green area, playground and security. High-quality elevators are installed in the buildings. There are recreation areas, alleys and a bike path for fans of a healthy lifestyle. Security and cleaning services are available around the clock. The residential complex has a very convenient location. Within the promotion, the price ranges from 500.000 to 550.000 drams per sqm. You can buy an apartment under the income tax law directly from the developer. ",40.19321528,44.54068892
A. Myasnikyan ave.,4 room,116 m2," floor 7/17 , new construction "," Sale - 58,000,000 Դ "," For sale is a comfortable 4-room apartment with an area of 116 sqm on the 7th floor of a 17-story new building. The apartment is in zero condition. Central heating is installed, walls are plastered, electric wires are laid, water supply is connected. There are 3 bathrooms and 2 open balconies. The ""Nork"" residential complex near Myasnikyan Avenue offers 2, 3 and 4-room room apartments in zero condition, as well as partially renovated apartments. The complex consists of 9 buildings of 9, 10 and 17 floors. Thanks to high-quality engineering and technical developments, the rooms are bright and comfortable, security is provided. On the territory there is an underground parking, fenced green area, playground and security. High-quality elevators are installed in the buildings. There are recreation areas, alleys and a bike path for fans of a healthy lifestyle. Security and cleaning services are available around the clock. The residential complex has a very convenient location. Within the promotion, the price ranges from 500.000 to 550.000 drams per sqm. You can buy an apartment under the income tax law directly from the developer. ",40.19314123,44.54059236
A. Myasnikyan ave.,4 room,125 m2," floor 7/10 , new construction "," Sale - 65,625,000 Դ "," For sale is a comfortable 4-room apartment with an area of 125 sqm on the 7th floor of a 10-story new building. The apartment is in zero condition. Central heating is installed, walls are plastered, electric wires are laid, water supply is connected. There are 3 bathrooms and 2 open balconies. The ""Nork"" residential complex near Myasnikyan Avenue offers 2, 3 and 4-room room apartments in zero condition, as well as partially renovated apartments. The complex consists of 9 buildings of 9, 10 and 17 floors. Thanks to high-quality engineering and technical developments, the rooms are bright and comfortable, security is provided. On the territory there is an underground parking, fenced green area, playground and security. High-quality elevators are installed in the buildings. There are recreation areas, alleys and a bike path for fans of a healthy lifestyle. Security and cleaning services are available around the clock. The residential complex has a very convenient location. Within the promotion, the price ranges from 500.000 to 550.000 drams per sqm. You can buy an apartment under the income tax law directly from the developer. ",40.19317344,44.54072081
A. Myasnikyan ave.,3 room,92 m2," floor 7/10 , new construction "," Sale - 50,600,000 Դ "," For sale is a comfortable 3-room apartment with an area of 92 sqm on the 7th floor of a 10-story new building. The apartment is partially renovated. Central heating is installed, walls are plastered, electric wires are laid, water supply is connected. There are 2 bathrooms covered with high-quality tiles and an open balcony. The ""Nork"" residential complex near Myasnikyan Avenue offers 2, 3 and 4-room room apartments in zero condition, as well as partially renovated apartments. The complex consists of 9 buildings of 9, 10 and 17 floors. Thanks to high-quality engineering and technical developments, the rooms are bright and comfortable, security is provided. On the territory there is an underground parking, fenced green area, playground and security. High-quality elevators are installed in the buildings. There are recreation areas, alleys and a bike path for fans of a healthy lifestyle. Security and cleaning services are available around the clock. The residential complex has a very convenient location. The price with partial repair is 550,000 drams per sqm. You can buy an apartment under the income tax law directly from the developer. ",40.19308364,44.5413541
Khorenatsi 24/1,5 room,254 m2," floor 6/6 , new construction "," Sale - 1,270,000 $ "," For sale is a 4-bedroom, 3-bathroom penthouse with an area of 165 sqm on the 6th floor of a 6-story monolithic new building on Khorenatsi Street, next to the English Park. The apartment is completely renovated with the use of exceptionally high-quality building materials, local heating and air conditioning systems are installed, the floor is covered with tiles, panoramic windows from floor to ceiling are installed. The studio kitchen and bathrooms are lined with European tiles and equipped with plumbing fixtures. The apartment has 4 terraces of 88 sqm area with 4-sided beautiful views of the park and the city and a terrace with a barbecue on the roof. It is possible to install an inflatable pool on the roof in summer. The apartment is furnished and equipped with modern appliances and accessories, there is an office. The house has 2 elevators, a security system and a utility service. There is a parking space in the underground parking of the building. Nearby there are banks, a school, a Sundukyan theater, shops, cafes and entertainment venues. Sold with furniture and appliances. ",40.173646,44.509564
Khorenatsi 24/1,3 room,91 m2," floor 4/6 , new construction "," Sale - 295,000 $ "," For sale is a spacious 2-bedroom, 2-bathroom apartment with an area of 91 sqm on the 4th floor of a 6-story monolithic new building of the Italian project on Khorenatsi Street, next to the English Park. The apartment is completely renovated with the use of exceptionally high-quality building materials, local heating and air conditioning systems are installed, the floor is covered with tiles. The kitchen and both bathrooms are lined with European tiles and equipped with plumbing fixtures. One of the bathrooms is connected to the bedroom. There are 2 open balconies with beautiful views of the park and the city. The apartment is furnished and equipped with household appliances, there are built-in closets and a storage room. There is a parking space in the underground parking of the building. The building also has an elevator, a security system and a utility service. Nearby there are banks, a school, the Sundukyan theater, shops, cafes and entertainment venues. Sold with furniture and appliances. ",40.173646,44.509564
Northern av.,2 room,54 m2," floor 4/12 , new construction "," Sale - 206,000 $ "," One - bedroom comfy apartment on the Northern Avenue, near the ""Ibis"" hotel is currently for sale or for long term or daily rent. It covers an area of 54 sq.m. and occupies the 4th floor of a new residential 12 storey building. The apartment is renovated. It's furnished and equipped with the necessary appliances. Centralized heating and conditioning system is installed. Cable TV and Internet are available. The long term rent price is $1200 - $1700, and the price of daily rent is $70 - $110. If wanted, we can offer services of a professional driver who can meet you at the airport, and can take to the beforehand reserved address. The apartment is located in the very downtown: the Opera and the Swan lake, The Republic Square, numerous museums and cultural sights, as well as brand shops, shopping centers, cafes, restaurants, bank branches and the supermarket ""Parma"" are located just nearby. ",40.18301089,44.51475696
Moldavakan 49/53,3 room,95 m2," floor 3/3 , new construction "," Sale - 83,000 $ ", Duplex apartment on Moldovakan street is currently for sale. It covers an area of 95 sq.m. and occupies the 3rd and 4th floors of a 3-story building. The apartment is currently in undergoing renovation. A nice yard and an underground parking are available. ,40.196031,44.577072
Tumanyan St.,4 room,140 m2, floor 3/5 ," Sale - 270,000 $ "," Three-bedroom apartment with 140 sq.m. area is for rent on the 3th floor of 5 storey stone buildin. Located in crossroads of streets Tumanyan and Hanrapetutyan. The apartment is fully repaired and not populated. The entrance door is metallic, the windows are modern plastic ones, installed air conditioner, the floor is covered with laminate. provided with constant water and gas. Heated by gas boiler. The kitchen and the bathroom are tiled with european production tiles and equipped with sanitary ware. All rooms are furnished with modern furniture. Cable TV and internt connection are available. There are buily-in-wardrobes in the hallway and in the kitchen. If needed we provide a driver who will meet you at the airport and will bring you to the beforehand reserved address. Short term rental: $80-120 Viber, WhatsApp ,Telegram +37477600-010 Artur ",40.17898774,44.52232014
N. Zaryan,3 room,109 m2," floor 10/16 , new construction "," Sale - 185,000 $ "," A three room apartment is for sale in Elite district Northern Ray. It is situated on the 10th floor of a 16 storey residential monolith new building. This apartment is fully repaired and the rooms are wholly furnished. They are equipped with the latest technical equipment and dishwasher. There is an open balcony, the glass door of which makes the apartment lighter. It is being heated with central heating system. In front of the building, there is a place for parking cars. The building is provided with security system. Supermarket, a little far you can find a school and a kindergarten. ",40.20390976,44.5166806
Khorenatsi,3 room,83 m2, floor 4/16 ," Sale - 95,000 $ "," For sale is a 2-bedroom, 2-bathroom apartment with an area of 83 sqm on the 4th floor of a 16-story panel building on Khorenatsi Street, next to the “Tsiran"" supermarket. The apartment is completely renovated, not inhabited, a local heating system is installed, the floor is covered with laminate. The bathrooms are lined with European tiles and equipped with high-quality plumbing. The building has 2 elevators: passenger and freight. There is a playground in the well-kept yard. ",40.16490348,44.51661927
Komitas ave.,2 room,53 m2, floor 3/5 ," Sale - 70,000 $ "," One - bedroom, one-bathroom sunny apartment on Komitas - Vagharshyan crossroads is currently for sale. It covers an area of 53 sq.m. and occupies the 3rd floor of a 5-storey building. Warm and cold tap water is available. Air conditioner is installed. Supermarket ""Yeritsyan and Sons"", bank branches, cafe-barbecue house ""Tonrashkharh"" and the bus stop are located nearby. ",40.203284,44.50059
Verin Antarain,3 room,125 m2," floor 4/6 , new construction "," Sale - 200,000 $ "," For sale is a 2-bedroom, 2-bathroom apartment with an area of 125 sqm on the 4th floor of a 6-story new building on Verin Antarain Street, near the Cascade complex. The apartment is in a state of major renovation. Partitions of rooms are made, walls are plastered. The house has an elevator, security system, well-kept courtyard and underground parking for an additional fee. On the same floor you can buy the neighboring apartment of 56 sqm and merge them into one. ",40.19441297,44.51442897
Verin Antarain,2 room,56 m2," floor 4/6 , new construction "," Sale - 98,000 $ "," For sale is a 1-bedroom, 1-bathroom apartment with an area of 56 sqm on the 4th floor of a 6-story new building on Verin Antarain Street, near the Cascade complex. The apartment is in a state of major renovation. Partitions of rooms are made, walls are plastered. The house has an elevator, security system, well-kept courtyard and underground parking for an additional fee. On the same floor you can buy the neighboring apartment of 125 sqm and merge them into one. ",40.19428133,44.51467573
Mashtots avenue,1 room,46 m2, floor 3/10 ," Sale - 87,000 $ "," One - bedroom, one-bathroom apartment on Mashtots avenue, next to the Opera House is currently for sale. It covers an area of 46 sq.m. and occupies the 3rd floor of a 10-story building. The apartment is renovated. An air conditioner is installed. An open balcony is available. Restaurant ""KFC"", bank branches and the bus stop are located nearby. ",40.18439887,44.51285622
Nalbandyan,4 room,120 m2, floor 4/5 ," Sale - 250,000 $ "," Three - bedroom, two-bathroom apartment on Nalbandyan street, next to the Sakharov and Republic Squares is currently for sale. It covers an area of 120 sq.m. and occupies the 4th floor of a 5-story building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. The apartment has a nice view of mount Ararat. The apartment is furnished and equipped with home appliances. All necessary shops, entertainment places and metro station ""Republic Square"" are located nearby. ",40.18022037,44.51752596
Abovyan,1 room,40 m2, floor 4/5 ," Sale - 80,000 $ "," Apartment on Abovyan - Sayat - Nova crossroads is currently for sale. It covers an area of 75 sq.m. and occupies the 4th floor of a 5-story building. An enclosed balcony is available. The apartment is located in the center of the city, but in a quiet area, nearby there are all kinds of shops, entertainment centers, medical and educational institutions. ",40.18405673,44.51977603
A. Isahakyan,5 room,200 m2, floor 4/4 ," Sale - 320,000 $ "," For sale is а 3-bedroom, 2-bathroom spacious duplex apartment with an area of 200 sqm in a 4-story stone house of the Stalin-era project, on the 4th and attached 5th floors of the house, on Isahakyan Street, next to the Drama Theater. The apartment was completely renovated many years ago, only cosmetic repairs are required. Local heating and air conditioning systems are installed, the floor is covered with oak hardwood, the stairs between the floors are marble. Bathrooms are tiled, equipped with plumbing, there is a Jacuzzi. The living room has a fireplace. The kitchen furniture is made of high-quality wood, and there are built-in closets in the hallway. Outdoor balcony with park view. The floors in the house are concrete, the ceiling height is 3.50 m. Near the house there are shops, entertainment venues, school, kindergarten, universities and a park. The apartment is sold with furniture and appliances. ",40.18902847,44.51936519
Lvovyan,3 room,87 m2," floor 4/6 , new construction ", Sale - on request ," From the developer. For sale is a 3-room apartment with an area of 87,4 sqm on the 3rd floor of a 6-story building under construction in the 1st Nork massif, on Lvovyan Street, in a new residential complex “Yerevan View"". The apartments will be put into operation in a zero condition, with plastered dividing walls, with installed windows and an entrance door, with laid electrical wires and pipes. According to the plan, the apartment consists of a living room, a kitchen, 2 bedrooms, a bathroom and an open balcony. The building was built according to modern technologies, in the form of a monolithic reinforced concrete structure with a seismic resistance of 9 points. The ceiling height is 3 m. Sound insulation and thermal insulation technologies are used in the inter-apartment and exterior walls. It is planned to install a high-quality European elevator, a two-story underground parking, a recreation area and a playground. The complex is located in a quiet, ecologically clean green area, overlooking Mount Aragats and the water park. The building has apartments ranging from 51 sqm. Prices for apartments: from USD 1050 to 1150 per sqm depending on the location, for a parking space in the underground parking: USD 8000 on the 1st floor and 9000 on the 2nd floor. When buying apartments in this complex, the Law on Income tax refund applies. Buy from us without agency commission! The commissioning of the building is scheduled for May 2022. ",40.19858271,44.55524386
Lvovyan,2 room,101 m2," floor 5/6 , new construction ", Sale - on request ," From the developer. For sale is a 2-room apartment with an area of 100,7 sqm on the 5th floor of a 6-story building under construction in the 1st Nork massif, on Lvovyan Street, in a new residential complex “Yerevan View"". The apartments will be put into operation in a zero condition, with plastered dividing walls, with installed windows and an entrance door, with laid electrical wires and pipes. According to the plan, the apartment consists of a living room, a kitchen, a bedroom, 2 bathrooms and an open balcony. The building was built according to modern technologies, in the form of a monolithic reinforced concrete structure with a seismic resistance of 9 points. The ceiling height is 3 m. Sound insulation and thermal insulation technologies are used in the inter-apartment and exterior walls. It is planned to install a high-quality European elevator, a two-story underground parking, a recreation area and a playground. The complex is located in a quiet, ecologically clean green area, overlooking Mount Aragats and the water park. The building has apartments ranging from 51 sqm. Prices for apartments: from USD 1050 to 1150 per sqm depending on the location, for a parking space in the underground parking: USD 8000 on the 1st floor and 9000 on the 2nd floor. When buying apartments in this complex, the Law on Income tax refund applies. Buy from us without agency commission! The commissioning of the building is scheduled for May 2022. ",40.19859094,44.5551473
Mamikonyants,2 room,52 m2," floor 6/14 , new construction "," Sale - 69,500 $ "," For sale is a 2-room apartment with an area of 52 sqm on the 6th floor of a 14-story new monolithic building on Mamikonyants street. The apartment is in zero condition, the dividing walls are plastered. All communications are connected. There is an open balcony. There are 2 elevators in the building. The yard will be landscaped. Nearby there are shops, parks, transport stops. ",40.21141663,44.51079836
Khanjyan,4 room,200 m2, floor 3/5 ," Sale - 350,000 $ "," For sale or for long term or daily rent is a 3-bedroom, 3-bathroom duplex apartment with a unique luxury design with an area of 200 sqm (2153 sqft) on the 3rd and 4th floors of a 5-story stone house at the intersection of Khanjyan and Tumanyan Streets. The apartment is completely renovated, installed a local heating system, underfloor heating, windows from floor to ceiling, the floor in the rooms is covered with high-quality hardwood, the bathrooms are lined with high-quality tiles and equipped with the necessary plumbing, there are 2 water supply lines. On the 3rd floor there is a living room with a large fireplace, a kitchen and a bathroom, on the 4th floor there are 3 bedrooms and 2 bathrooms. There are 2 open balconies, one facing the courtyard, the other facing Khanjyan Street. There is a separate elevator for private use. Sold with all furniture and equipment. Long-term rent is $1300 - 2500 per month, daily one is $ 75 - 160. ",40.17890356,44.52281471
Koryun,2 room,105 m2, floor 3/3 ," Sale - 210,000 $ "," For sale is a 1-bedroom, 1-bathroom duplex apartment with an area of 105 sqm (1130 sqft), with a luxury renovation on the 3rd and 4th floors of a 3-story stone building on Koryun Street. The total ceiling height is 6.5 meters (1st floor is 3.20 m, 2nd floor - 3.30 m). Thanks to the floor- to-ceiling windows, the apartment is very bright and spacious. The floor in the rooms is covered with high-quality hardwood with heating, the bathrooms are tiled, equipped with the necessary plumbing. On the first floor there is a large living room, kitchen and bathroom, on the second floor there is a bedroom, bathroom, laundry / ironing room, dressing room. The apartment has 2 open balconies, one facing the courtyard, the other on Koryun Street. There are also 2 separate entrances with stairs, one from Koryun Street, the other from Nalbandian. It is sold with all furniture and equipment. ",40.185869,44.525698
Northern av.,4 room,188 m2, floor 4/5 ," Sale - 350,000 $ "," Two - bedroom, three-bathroom duplex apartment on Northern Avenue, next to the beer house ""Paulaner"" is currently for sale or for rent. It covers an area of 188 sq.m. and occupies the 4th and the 5th floors of a 5-storey building. The apartment is fully renovated. Local heating system is installed alongside with an air conditioner. A spacious open balcony is available. Video surveillance is installed. Supermarket ""Parma"", bank branches, Canvas Art Cafe are located nearby. If wanted, we can offer services of a professional driver who'll meet you at the airport and will take you to the beforehand reserved apartment. The daily rent is $140-$200, the long term rent is $1700-$3000. Viber,WhatsApp,Telegram +37477600-010 Arthur. ",40.18302286,44.51439286
Kajaznuni,4 room,159 m2," floor 8/9 , new construction "," Sale - 335,000 $ "," A spacious 3-bedroom, 2-bathroom apartment with an area of ​​159 sq.m. is for sale or for rent. It is situated on the 8th floor of a 9-storey new building on Kajaznuni street, next to the SAS supermarket. The apartment is renovated. The windows are floor-to-ceiling. A local heating system and air conditioners are installed. The apartment is furnished with high quality modern furniture. The apartment has an open balcony with a beautiful view of the church. The building has round-the-clock security. The apartment is sold together with furniture and appliances. If you wish, we will provide a driver who will meet you at the airport and safely drive you to your pre-booked address. Long term rent: $ 1600-2500. Daily rent: $ 80-140. ",40.16657334,44.52165775
D. Demirchyan,2 room,66 m2, floor 6/9 ," Sale - 95,000 $ "," For sale is a 2-bedroom, 1-bathroom apartment with an area of 66 sqm on the 6th floor of a 9-story building on Demirchyan Street. The apartment is renovated, the floor is covered with laminate and tiles, the bathroom and kitchen are tiled and equipped with plumbing. There is a closed balcony. The apartment is furnished and equipped with household appliances. The building has an elevator. Nearby there are shops, banks, entertainment venues and transport stops. ",40.18864658,44.50724964
