,addr,ruler,lat,lon,num_rooms,num_floor,num_price,text,dominant_topic,topic_percentage_contrib,sale_category,house_prices,currency,house_prices_usd
328,M  Baghramyan ave ,one hundred square metres,40.19213381,44.50064404,3 room,"  13/15 , new construction ","Sale-190,000$",M  Baghramyan ave  three room one hundred square metres  floor thirteenth/fifteenth   new construction  Sale-190000$ For sale rent apartment area sqm Baghramyan Avenue near th polyclinic th floor new building The apartment completely renovated local heating air conditioning system installed floor covered hardwood The apartment equipped furniture appliance French balcony access street In courtyard parking space car The building elevator security system Near house shop entertainment venue ,0.0,0.9858999848365784,Sale,190000.0,$,190000.0
329,Shiraz,one hundred and eighteen square metres,40.20306949,44.46210374,4 room,  1/14 ,"Sale-62,000$",Shiraz four room one hundred and eighteen square metres  floor first/fourteenth  Sale-62000$ For sale spacious apartment area sqm st floor building Shiraz Street near Yerevan City supermarket The main part apartment completely renovated local heating system installed floor covered parquet laminate kitchen bathroom tiled equipped plumbing fixture There spacious corner balcony The room kitchen furnished equipped household appliance There many shop school kindergarten transport stop various entertainment venue nearby ,0.0,0.9865999817848206,Sale,62000.0,$,62000.0
330,Sayat Nova ave ,one hundred and fifteen square metres,40.18338178,44.5200344,3 room,"  19/21 , new construction ","Sale-287,000$",Sayat Nova ave  three room one hundred and fifteen square metres  floor nineteenth/twenty-first   new construction  Sale-287000$ For sale apartment area sqm th floor new elite building intersection Avenue Abovyan Street next Ani hotel The house already occupied The apartment zero condition panoramic window installed side providing natural light There partition wall According project apartment living room bedroom bathroom open balcony The house central heating cooling entrance elevator security system Nearby shop bank cafe entertainment venue ,1.0,0.9164999723434448,Sale,287000.0,$,287000.0
331,Y Kochar,ninety-seven square metres,40.17183756,44.51911842,3 room,  10/12 ,"Sale-88,800$",Y Kochar three room ninety-seven square metres  floor tenth/twelfth  Sale-88800$ For sale apartment area sqm th floor panel building Kochar Street near Church Gregory Illuminator The apartment old overhaul local heating air conditioning system installed floor covered parquet Both bathroom tiled equipped plumbing fixture The apartment balcony indoor outdoor The house elevator Nearby newly built skate park shop bank school entertainment venue ,0.0,0.7384999990463257,Sale,88800.0,$,88800.0
332,An  Mikoyan,fifty-two square metres,40.22704732,44.50075103,2 room,"  15/18 , new construction ","Sale-55,500$",An  Mikoyan two room fifty-two square metres  floor fifteenth/eighteenth   new construction  Sale-55500$ For sale apartment area sqm th floor new monolithic building Mikoyan Street Davtashen The apartment zero condition window iron entrance door installed partition wall plastered According plan apartment living room bedroom bathroom open balcony The house elevator security system The yard well maintained playground Nearby supermarket various shop transport stop There similar apartment floor ,1.0,0.6425999999046326,Sale,55500.0,$,55500.0
333,Verin Antarain,one hundred and thirty-five square metres,40.19656882,44.51227802,4 room,"  5/10 , new construction ","Sale-200,000$",Verin Antarain four room one hundred and thirty-five square metres  floor fifth/tenth   new construction  Sale-200000$ Three bedroom apartment Verin Antarayin street currently sale It cover area occupies th floor building The apartment newly renovated Local heating system installed The apartment sale together furniture home appliance Supermarket Evrika bus stop located nearby ,2.0,0.9824000000953674,Sale,200000.0,$,200000.0
334,Gyulbenkyan,one hundred and ninety square metres,40.19965204,44.49696059,4 room,"  5/17 , new construction ",Sale-onrequest,Gyulbenkyan four room one hundred and ninety square metres  floor fifth/seventeenth   new construction  Sale-onrequest For sale luxury modern uniquely furnished spacious incomparable apartment sqm sqft th floor new building intersection Gulbenkian Komitas street next Ameria HSBC bank The apartment completely renovated local heating air conditioning system installed panoramic window installed floor laid laminate bathroom kitchen tiled bathroom Jacuzzi The apartment two open balcony laundry room There supermarket shop nearby Barekamutyun Metro Station meter away ,0.0,0.9714999794960022,Sale,0.0,,0.0
335,D  Demirchyan,sixty-eight square metres,40.18779627,44.50698772,2 room,  5/5 ,"Sale-140,000$",D  Demirchyan two room sixty-eight square metres  floor fifth/fifth  Sale-140000$ One bedroom apartment street currently sale It cover area occupies th floor storey building The apartment renovated Local heating system air conditioner installed All room furnished equipped necessary appliance From open balcony nice view towards city observed Numerous shop educational establishment located nearby ,2.0,0.9832000136375427,Sale,140000.0,$,140000.0
336,Verin Antarain,one hundred and seventy-two square metres,40.19618064,44.51188451,3 room,"  1/5 , new construction ","Sale-250,000$",Verin Antarain three room one hundred and seventy-two square metres  floor first/fifth   new construction  Sale-250000$ For sale spacious apartment area sqm st floor new building one best district Yerevan near Cascade complex The apartment completely renovated local heating air conditioning system installed well window thanks apartment beautiful lighting floor room covered laminate Both bathroom lined European tile equipped plumbing The studio kitchen furnished Not far building Charles Aznavour House Museum ,0.0,0.8442999720573425,Sale,250000.0,$,250000.0
337,Bayron 1 1,one hundred and forty-five square metres,40.18632432,44.51802121,4 room,"  6/6 , new construction ","Sale-600,000$",Bayron 1 1 four room one hundred and forty-five square metres  floor sixth/sixth   new construction  Sale-600000$ Three bedroom apartment Byron street currently sale It cover area occupies th floor new residential storey building The apartment renovated Local heating system heating floor fireplace air conditioner installed All room furnished equipped necessary appliance A spacious open balcony available The underground parking space included price ,2.0,0.9847000241279602,Sale,600000.0,$,600000.0
338,Verin Antarain,fifty-seven square metres,40.196223,44.512133,2 room,"  4/10 , new construction ","Sale-105,000$",Verin Antarain two room fifty-seven square metres  floor fourth/tenth   new construction  Sale-105000$ One bedroom apartment Verin Antarayin street near Cascade currently sale It cover area occupies th floor new residential storey building The apartment renovated unique design Local heating system air conditioner installed All room furnished equipped necessary appliance Underground parking allocated car Numerous shop entertainment center located nearby The price includes wardrobe underground parking ,2.0,0.9860000014305115,Sale,105000.0,$,105000.0
339,Charents,eighty-five square metres,40.18395825,44.52684866,3 room,  2/5 ,"Sale-165,000$",Charents three room eighty-five square metres  floor second/fifth  Sale-165000$ Two bedroom apartment Charents street next Yerevan State University currently sale It cover area occupies nd floor building The apartment newly renovated Local heating system installed alongside air conditioner An open balcony view street available The apartment sale together inbuilt furniture The building concrete roof located first line ,2.0,0.9743000268936157,Sale,165000.0,$,165000.0
340,A  Avetisyan,one hundred and ninety-eight square metres,40.19798,44.499844,3 room,"  9/9 , new construction ",Sale-onrequest,A  Avetisyan three room one hundred and ninety-eight square metres  floor ninth/ninth   new construction  Sale-onrequest Two bedroom penthouse Avetisyan street currently sale It cover area occupies th floor new building The apartment fully renovated unique design The floor covered oak parquet Local heating system installed alongside air conditioner The bathroom kitchen covered European tile equipped sanitary ware Cable TV Internet installed The apartment also open balcony wonderful view An underground garage parking spot area available A security system sound motion detector installed The entire heating cooling system automated remote controlled All necessary shop located nearby It also possible sell together furniture price With additional also buy parking ,2.0,0.5920000076293945,Sale,0.0,,0.0
341,Leningradyan,ninety square metres,40.19108422,44.47562765,3 room,"  4/6 , new construction ","Sale-132,000$",Leningradyan three room ninety square metres  floor fourth/sixth   new construction  Sale-132000$ For sale apartment area sqm th floor new stone building Leningradyan Street The apartment completely renovated local heating system installed floor covered parquet kitchen bathroom lined European tile equipped plumbing fixture The room kitchen furnished equipped household appliance closet There open balcony There playground yard The house maintenance cost AMD per month It sold kitchen furniture closet Nearby shop school cafe kindergarten pharmacy transport stop ,0.0,0.9879000186920166,Sale,132000.0,$,132000.0
342,Azatutyan ave ,one hundred and twenty square metres,40.20030962,44.52121635,4 room,  5/6 ,"Sale-110,000$",Azatutyan ave  four room one hundred and twenty square metres  floor fifth/sixth  Sale-110000$ For sale sunny apartment area sqm th floor building Azatutyan Avenue near Urartu supermarket Carrefour shopping center The apartment old overhaul local heating air conditioning system installed floor covered mosaic parquet The bathroom tiled equipped plumbing fixture The apartment furnished equipped modern household appliance All room separate entrance enclosed balcony closet The apartment view possibility expansion Nearby shop pharmacy school cafe transport stop ,0.0,0.9876999855041504,Sale,110000.0,$,110000.0
343,Babayan,seventy-six square metres,40.19966396,44.51741438,3 room,  3/9 ,"Sale-75,000$",Babayan three room seventy-six square metres  floor third/ninth  Sale-75000$ For sale rent apartment area sqm rd floor building special project first line Babayan Street near Azatutyan Avenue The apartment good condition local heating system installed floor covered mosaic parquet The bathroom tiled equipped plumbing fixture The apartment furnished equipped modern household appliance There open balcony courtyard stone garage additional fee The building elevator intercom Nearby shop pharmacy cafe transport stop ,0.0,0.9876999855041504,Sale,75000.0,$,75000.0
344,Mashtots avenue,eighty-two square metres,40.18884549,44.51750578,3 room,  4/5 ,"Sale-170,000$",Mashtots avenue three room eighty-two square metres  floor fourth/fifth  Sale-170000$ Two bedroom apartment Mashtots avenue next cinema Nairi currently sale It cover area occupies th floor building The apartment newly renovated Local heating system installed alongside air conditioner The apartment nice view Cascade bathroom equipped necessary appliance The apartment sale together furniture home appliance A theater medical educational institution shop place entertainment located nearby ,2.0,0.9854000210762024,Sale,170000.0,$,170000.0
345,Sarmen,one hundred and twenty square metres,40.1916529,44.51349502,4 room,  3/5 ,"Sale-187,000$",Sarmen four room one hundred and twenty square metres  floor third/fifth  Sale-187000$ For sale spacious bright apartment area sqm rd floor stone building Sarmen Street near Cascade complex National Assembly The apartment normal condition heated gas boiler floor covered parquet bathroom tiled equipped plumbing fixture All room kitchen furnished equipped household appliance There open balcony beautiful view There many shop entertainment venue transport stop nearby ,1.0,0.6262000203132629,Sale,187000.0,$,187000.0
346,M  Baghramyan ave ,sixty-two square metres,40.19203687,44.50374508,2 room,  1/16 ,"Sale-75,000$",M  Baghramyan ave  two room sixty-two square metres  floor first/sixteenth  Sale-75000$ For sale apartment area sqm sqft intersection Baghramyan Avenue Proshyan Street st floor panel house The apartment completely renovated installed local heating system Euro window bar floor covered hardwood The apartment sold together furniture appliance Nearby many shop school kindergarten transport stop Baghramyan metro station ,0.0,0.9848999977111816,Sale,75000.0,$,75000.0
347,Mashtots avenue,forty-two square metres,40.18025654,44.50821745,1 room,  9/11 ,"Sale-88,500$",Mashtots avenue one room forty-two square metres  floor ninth/eleventh  Sale-88500$ For sale area sqm th floor building intersection Mashtots Avenue Amiryan Street The apartment completely renovated local heating air conditioning system installed floor covered laminate press granite The bathroom tiled equipped plumbing fixture The apartment comfortably furnished equipped household appliance There intercom system new elevator Nearby bank shop entertainment venue Sold furniture appliance ,0.0,0.9742000102996826,Sale,88500.0,$,88500.0
348,Amiryan,thirty-four square metres,40.18230042,44.50551091,1 room,  2/4 ,"Sale-120,000$",Amiryan one room thirty-four square metres  floor second/fourth  Sale-120000$ For sale apartment area sqm nd floor building Amiryan Street The apartment need renovation floor covered hardwood bathroom lined old tile equipped plumbing fixture The roof repaired There intercom system There child playground courtyard Nearby shop school bank entertainment venue ,0.0,0.9811999797821045,Sale,120000.0,$,120000.0
349,Babayan,seventy-four square metres,40.19969398,44.51731245,3 room,  3/9 ,"Sale-76,000$",Babayan three room seventy-four square metres  floor third/ninth  Sale-76000$ For sale а sunny partment area sqm rd floor panel building first line Babayan Street near Victory Park The apartment old overhaul local heating system installed floor covered hardwood The separate bathroom finished old tile equipped plumbing fixture There open balcony beautiful view The building elevator ,0.0,0.9830999970436096,Sale,76000.0,$,76000.0
350,Gyulbenkyan,sixty-five square metres,40.19725732,44.49724113,2 room,  5/5 ,"Sale-75,000$",Gyulbenkyan two room sixty-five square metres  floor fifth/fifth  Sale-75000$ Two bedroom apartment Gyulbenkyan Avetisyan crossroad currently sale It cover area occupies th floor building The apartment newly renovated Local heating system installed A couple shop located nearby ,2.0,0.9750000238418579,Sale,75000.0,$,75000.0
351,Tumanyan St  5ա  apt  20,forty-five square metres,40.17919922,44.52140045,1 room,  8/10 ,"Sale-90,000$",Tumanyan St  5ա  apt  20 one room forty-five square metres  floor eighth/tenth  Sale-90000$ In central part capital Tumanyan street near crossroad Alaverdyan Nalbandyan street next shop Passage room apartment total area sqm rent whole furniture technique Air conditioner installed internet satellite TV available After recent renovation flat become comfortable Local heating system provided floor corridor kitchen tiled From th floor beautiful Tumanyan street There playground yard many brand shop supermarket located near building Nearby school kindergarten In minute walk Opera Square Swan Lake interesting sight capital ,1.0,0.47269999980926514,Sale,90000.0,$,90000.0
352,Nor Nork 2 nd block 1  apt  33,ninety square metres,40.20637,44.56411,3 room,  7/12 ,"Sale-83,000$",Nor Nork 2 nd block 1  apt  33 three room ninety square metres  floor seventh/twelfth  Sale-83000$ For sale rent fully renovated apartment area sqm th floor panel house Gay Avenue nd quarter Nor Nork A local heating system installed floor covered carpet parquet kitchen bathroom lined European tile It equipped furniture appliance dish bedding The apartment view two side Nearby shop school kindergarten ,0.0,0.9850000143051147,Sale,83000.0,$,83000.0
353,Keri street,three hundred square metres,40.19986773,44.48640576,5 room,"  18/18 , new construction ",Sale-onrequest,Keri street five room three hundred square metres  floor eighteenth/eighteenth   new construction  Sale-onrequest Four bedroom apartment Qeri street currently sale It cover area occupies last floor new building The apartment newly renovated Local heating system installed Floor heating available open terrace nice view available Security system installed There pool gym playground restaurant store building ,2.0,0.9843999743461609,Sale,0.0,,0.0
354,Y Koghbatsi,forty square metres,40.18126684,44.51080205,1 room,  2/9 ,"Sale-72,000$",Y Koghbatsi one room forty square metres  floor second/ninth  Sale-72000$ For sale studio apartment area sqm nd floor panel house Buzand Street The apartment need renovation The floor covered parquet The bathroom covered old tile There open balcony Nearby shop various institution entertainment venue ,1.0,0.5618000030517578,Sale,72000.0,$,72000.0
355,Mashtots avenue,one hundred square metres,40.18566398,44.51196261,3 room,"  9/13 , new construction ","Sale-260,000$",Mashtots avenue three room one hundred square metres  floor ninth/thirteenth   new construction  Sale-260000$ For sale bright apartment area sqm th floor new monolithic building Mashtots Avenue The ceiling height The apartment completely renovated local heating air conditioning system installed floor covered hardwood tile Both bathroom lined European tile equipped plumbing one bathroom used laundry room The room furnished modern style equipped household appliance There open balcony view city There elevator building Nearby shop bank entertainment venue ,1.0,0.8363999724388123,Sale,260000.0,$,260000.0
356,Paronyan,three hundred and three square metres,40.17776867,44.50174553,5 room,"  16/16 , new construction ","Sale-600,000$",Paronyan five room three hundred and three square metres  floor sixteenth/sixteenth   new construction  Sale-600000$ For sale bedroom bathroom penthouse apartment area sqm th floor new building Paronyan Street The apartment completely renovated inhabited local heating system installed floor covered heated press granite window panoramic Italian wooden interior door installed The bathroom kitchen lined Italian tile equipped plumbing fixture There dressing room open balcony beautiful view spacious terrace sqm utility room sqm underground parking space An individual security system installed ,1.0,0.911899983882904,Sale,600000.0,$,600000.0
357,Nersisyan 5,sixty-eight square metres,40.20592594,44.53091527,2 room,"  5/18 , new construction ","Sale-81,000$",Nersisyan 5 two room sixty-eight square metres  floor fifth/eighteenth   new construction  Sale-81000$ For sale apartment area sqm th floor new building Nersisyan Street The apartment zero condition communication connected wall erected plastered open balcony The apartment connected central heating cooling system There underground parking playground yard Nearby shop bank school Eighth Hospital ,1.0,0.9825000166893005,Sale,81000.0,$,81000.0
358,Kievyan,fifty-four square metres,40.19462699,44.48830171,2 room,  3/4 ,"Sale-80,000$",Kievyan two room fifty-four square metres  floor third/fourth  Sale-80000$ One bedroom apartment Kievyan Orbeli crossroad currently sale It cover area occupies rd floor building The apartment newly renovated The window changed An iron entrance door installed The floor covered laminate The bathroom kitchen tiled The apartment open balcony It sale together kitchen furniture ,2.0,0.5234000086784363,Sale,80000.0,$,80000.0
359,M  Baghramyan ave ,seventy-seven square metres,40.19663428,44.49273152,3 room,  4/5 ,"Sale-110,000$",M  Baghramyan ave  three room seventy-seven square metres  floor fourth/fifth  Sale-110000$ For sale apartment area sqm th floor stone building Baghramyan Avenue near Kievyan Street The apartment partially renovated floor covered parquet local heating system installed bathroom tiled equipped plumbing fixture Nearby Barekamutyun metro station SAS supermarket many shop entertainment venue ,0.0,0.9835000038146973,Sale,110000.0,$,110000.0
360,Artsakh ave  12ա  apt  4,seventy-five square metres,40.14897702,44.50855421,3 room,  1/5 ,"Sale-55,000$",Artsakh ave  12ա  apt  4 three room seventy-five square metres  floor first/fifth  Sale-55000$ Two bedroom apartment Artsakh avenue next bridge Vstrech currently sale It cover area occupies st floor building The apartment partly renovated An enclosed balcony basement garage space ,0.0,0.5633999705314636,Sale,55000.0,$,55000.0
361,Alma Ata 6 1,sixty-four square metres,40.21649944,44.57371916,2 room,  2/9 ,"Sale-65,000$",Alma Ata 6 1 two room sixty-four square metres  floor second/ninth  Sale-65000$ For sale apartment niche sqm nd floor panel building Tumanyan quarter Avan The apartment completely renovated local heating system installed floor covered laminate tile The bathroom lined Spanish tile equipped plumbing There open balcony storage room The building elevator intercom Nearby park shop bank Sophie Devoyan dance school entertainment venue transport stop ,0.0,0.9861999750137329,Sale,65000.0,$,65000.0
362,Mashtots avenue,thirty-nine square metres,40.18502165,44.51205092,1 room,  4/4 ,"Sale-82,000$",Mashtots avenue one room thirty-nine square metres  floor fourth/fourth  Sale-82000$ This cozy single bedroom apartment top floor storey building Mastots right front Opera The apartment renovated furnished Air conditioner installed Local heating system conducted There ope balcony view avenue Nearby Swan Lake Opera Northern Avenue cafe restaurant store underground shopping center ,2.0,0.9835000038146973,Sale,82000.0,$,82000.0
363,Komitas ave ,forty-five square metres,40.203477,44.499404,2 room,"  11/17 , new construction ","Sale-85,000$",Komitas ave  two room forty-five square metres  floor eleventh/seventeenth   new construction  Sale-85000$ One bedroom apartment Komitas Vagharshyan crossroad currently sale rent It cover area occupies th floor new building The apartment newly renovated yet uninhabited Local heating system installed alongside air conditioner An open balcony available The apartment sale together furniture home appliance Bank branch school N bus stop located nearby ,2.0,0.9857000112533569,Sale,85000.0,$,85000.0
364,Khorenatsi,thirty-five square metres,40.17909397,44.50652149,2 room,  2/4 ,"Sale-94,000$",Khorenatsi two room thirty-five square metres  floor second/fourth  Sale-94000$ For sale long time daily rent а studio apartment area sqm nd floor stone house intersection Mashtots Avenue Khorenatsi Street The apartment inhabited completely renovated local heating air conditioning system installed floor covered laminate The bathroom lined European tile equipped plumbing All room furnished modern comfortable furniture equipped necessary appliance dish bedding The balcony offer beautiful view There internet connection There many shop school kindergarten entertainment venue nearby ,1.0,0.9883000254631042,Sale,94000.0,$,94000.0
365,Abovyan,one hundred and five square metres,40.18403807,44.52048379,3 room,  5/5 ,"Sale-118,000$",Abovyan three room one hundred and five square metres  floor fifth/fifth  Sale-118000$ Two bedroom apartment Sayat Nova Abovyan crossroad backside Ani hotel currently sale It cover area occupies th floor storey building The apartment renovated Local heating system installed The kitchen furnished The apartment open close balcony Numerous shop entertainment center located nearby ,2.0,0.9717000126838684,Sale,118000.0,$,118000.0
366,Y Kochar,seventy-eight square metres,40.17308689,44.52120024,2 room,  7/10 ,"Sale-85,500$",Y Kochar two room seventy-eight square metres  floor seventh/tenth  Sale-85500$ One bedroom apartment Kochar street currently sale It cover area occupies th floor building The apartment partly renovated Park post office bus stop located nearby ,2.0,0.9761000275611877,Sale,85500.0,$,85500.0
367,Tsarav Aghbyur,one hundred and fifty-two square metres,40.22198888,44.53659476,4 room,"  5/10 , new construction ","Sale-170,000$",Tsarav Aghbyur four room one hundred and fifty-two square metres  floor fifth/tenth   new construction  Sale-170000$ Three bedroom apartment Tsarav Aghbyur street currently sale It cover area occupies th floor building The apartment newly renovated Local heating system installed alongside air conditioner Floor heating available The apartment also open balcony nice view The apartment sale together underground parking spot With additional payment also buy furniture home appliance ,2.0,0.7842000126838684,Sale,170000.0,$,170000.0
368,Buzand,forty-one square metres,40.18394446,44.50594888,1 room,"  11/17 , new construction ","Sale-165,000$",Buzand one room forty-one square metres  floor eleventh/seventeenth   new construction  Sale-165000$ One bedroom studio apartment Buzand street next парк currently sale rent It cover area occupies th floor new building The apartment newly renovated Centralized heating system installed alongside air conditioner Cable TV Internet available The apartment furnished equipped home appliance An open balcony available nice view The building security system All necessary shop entertainment place located nearby ,2.0,0.9869999885559082,Sale,165000.0,$,165000.0
369,Northern av ,eighty-four square metres,40.18196054,44.51488659,2 room,"  7/10 , new construction ","Sale-294,000$",Northern av  two room eighty-four square metres  floor seventh/tenth   new construction  Sale-294000$ For sale apartment area sqm Northern Avenue best part city th floor new elite building The apartment zero condition Interior partition installed allow buyer plan interior discretion All communication available Central heating provided It open balcony beautiful view The house elevator security system The building indoor swimming pool gym order create condition full life resident Nearby Republic Square Opera House branded shop entertainment venue There similar apartment ranging sqm ,1.0,0.9887999892234802,Sale,294000.0,$,294000.0
370,Northern av ,one hundred and sixteen square metres,40.18157788,44.51489195,3 room,"  8/10 , new construction ","Sale-406,000$",Northern av  three room one hundred and sixteen square metres  floor eighth/tenth   new construction  Sale-406000$ For sale apartment area sqm Northern Avenue best part city th floor new elite house The apartment zero condition Interior partition installed allow buyer plan interior discretion All communication available Central heating provided It open balcony beautiful view The house elevator security system The building indoor swimming pool gym order create condition full life resident Nearby Republic Square Opera House branded shop entertainment venue There similar apartment ranging sqm ,1.0,0.9889000058174133,Sale,406000.0,$,406000.0
371,Mamikonyants,ninety-six square metres,40.21060808,44.50977834,4 room,"  9/14 , new construction ","Sale-130,000$",Mamikonyants four room ninety-six square metres  floor ninth/fourteenth   new construction  Sale-130000$ For sale apartment area sqm sqft Mamikonyants Street near Dialab th floor residential building The ceiling height meter It consists living room combined kitchen three bedroom two bathroom entrance hall open balcony The apartment zero condition iron door window installed The exterior wall plastered Nearby necessary shop school kindergarten park important infrastructure The building commissioned January ,1.0,0.7405999898910522,Sale,130000.0,$,130000.0
372,Tsarav Aghbyur,seventy-three square metres,40.21726815,44.5488852,2 room,"  11/13 , new construction ","Sale-107,000$",Tsarav Aghbyur two room seventy-three square metres  floor eleventh/thirteenth   new construction  Sale-107000$ For sale spacious bright apartment area sqm th floor monolithic building Tsarav Aghbyur Street The apartment completely renovated floor covered parquet local heating air conditioning system installed bathroom lined European tile equipped plumbing fixture There dressing room shelf open balcony beautiful panorama The apartment provided furniture necessary appliance The house elevator security system The yard well maintained playground nearby Gazprom sport school necessary infrastructure It sold furniture household appliance ,1.0,0.989300012588501,Sale,107000.0,$,107000.0
373,Northern av ,one hundred and seventy-two square metres,40.18144377,44.51424822,3 room,"  9/9 , new construction ","Sale-380,000$",Northern av  three room one hundred and seventy-two square metres  floor ninth/ninth   new construction  Sale-380000$ Two bedroom duplex apartment Northern Avenue Pushkin crossroad currently sale It cover area occupies th floor new building The apartment newly renovated All utility available Local heating system installed alongside air conditioner All room furnished modern furniture equipped home appliance All necessary shop entertainment place located nearby A terrace fireplace nice view mount Ararat available The building also outdoor parking service fee ,2.0,0.9883000254631042,Sale,380000.0,$,380000.0
374,Koryun,two hundred and fifteen square metres,40.18971059,44.52102744,4 room,  3/3 ,"Sale-495,000$",Koryun four room two hundred and fifteen square metres  floor third/third  Sale-495000$ For sale duplex apartment area sqm rd th floor stone building one beautiful street Yerevan Koryun Street The building Stalinist project ceiling height concrete floor It consists spacious living room study bedroom kitchen bathroom open balcony view Koryun Street courtyard The apartment completely renovated individual heating air conditioning system installed floor covered parquet tile The bathroom tiled equipped plumbing fixture material used repair oak door marble window sill kW solar station heating system liter solar water heating system installed ,1.0,0.9731000065803528,Sale,495000.0,$,495000.0
375,M Saryan,one hundred square metres,40.18638695,44.50708024,3 room,  3/5 ,"Sale-140,000$",M Saryan three room one hundred square metres  floor third/fifth  Sale-140000$ For sale apartment area sqm rd floor stone building intersection Saryan Pushkin Streets near supermarket Nor Zovk The apartment completely renovated local heating air conditioning system installed floor covered hardwood The bathroom tiled equipped plumbing fixture The apartment modernly furnished equipped household appliance There outdoor balcony view Malibu park Nearby cafe shop entertainment venue It sold kitchen furniture ,0.0,0.6152999997138977,Sale,140000.0,$,140000.0
376,Moskovyan,one hundred and five square metres,40.18731108,44.51911844,3 room,  3/5 ,"Sale-250,000$",Moskovyan three room one hundred and five square metres  floor third/fifth  Sale-250000$ For sale rent bright beautiful apartment area sqm rd floor stone building intersection Moskovyan Teryan street best part city The apartment partially furnished furniture appliance new fireplace living room The apartment completely renovated inhabited local heating air conditioning system installed floor covered press granite The bathroom lined European tile equipped plumbing fixture The balcony offer beautiful view Yerevan Nearby shop bank cafe entertainment venue ,1.0,0.9882000088691711,Sale,250000.0,$,250000.0
377,Komitas ave ,one hundred and twenty-seven square metres,40.20309402,44.50157228,3 room,  4/6 ,"Sale-127,000$",Komitas ave  three room one hundred and twenty-seven square metres  floor fourth/sixth  Sale-127000$ For saleis comfortable apartment area sqm th floor stone building according special project intersection Komitas Avenue Vagharshyan Street nd line The apartment completely renovated heated gas boiler floor covered carpet hardwood The bathroom tiled equipped plumbing fixture The apartment furnished equipped appliance There spacious outdoor balcony There basement parking car additional fee There shop bank entertainment venue nearby ,0.0,0.9871000051498413,Sale,127000.0,$,127000.0
378,Aygedzor,one hundred and ten square metres,40.19160325,44.49970821,3 room,"  4/8 , new construction ","Sale-185,000$",Aygedzor three room one hundred and ten square metres  floor fourth/eighth   new construction  Sale-185000$ Two bedroom spacious apartment Aygedzor street currently sale It cover area occupies th floor new residential storey building The apartment renovated according latest European standard Local heating system air conditioner installed All room furnished equipped necessary appliance The apartment full inbuilt wardrobe ,2.0,0.9833999872207642,Sale,185000.0,$,185000.0
379,Khanjyan,one hundred and seventy-five square metres,40.17599869,44.52109909,4 room,"  10/14 , new construction ","Sale-280,000$",Khanjyan four room one hundred and seventy-five square metres  floor tenth/fourteenth   new construction  Sale-280000$ Three bedroom spacious sunny apartment Khanjyan street currently sale It cover area occupies th floor new residential storey building The apartment renovated The layout room arranged There open balcony nice view towards garden ,2.0,0.9803000092506409,Sale,280000.0,$,280000.0
380,Y Kochar,one hundred and ten square metres,40.1701993,44.51664425,4 room,  4/16 ,"Sale-120,000$",Y Kochar four room one hundred and ten square metres  floor fourth/sixteenth  Sale-120000$ Three bedroom apartment street currently sale It cover area occupies th floor storey building The apartment renovated Local heating system installed The apartment sale alongside kitchen furniture ,2.0,0.9749000072479248,Sale,120000.0,$,120000.0
381,Argishti,fifty-four square metres,40.17306554,44.50406279,2 room,"  10/14 , new construction ","Sale-77,000$",Argishti two room fifty-four square metres  floor tenth/fourteenth   new construction  Sale-77000$ A newly renovated yet uninhabited studio apartment sale Glendale Hills community Argisti street The apartment cover square meter occupies th floor new building Local heating system installed The beautiful panorama city observed balcony The apartment sold together kitchen furniture ,2.0,0.5263000130653381,Sale,77000.0,$,77000.0
382,Arami,one hundred and twenty-nine square metres,40.18134465,44.51139429,3 room,  4/12 ,"Sale-400,000$",Arami three room one hundred and twenty-nine square metres  floor fourth/twelfth  Sale-400000$ situ concrete euro renovated security system sunny exclusive design open balcony new wiring new water tube metal door euro window hardwood flooring air conditioner appliance kitchen furniture kitchen tiled bathroom tiled wardrobe persistent water electricity natural gas centralized heating underground parking elevator building bathroom balcony bedroom ,0.0,0.9861000180244446,Sale,400000.0,$,400000.0
383,E  Kochar 2,forty square metres,40.170779,44.518933,1 room,  6/10 ,"Sale-69,000$",E  Kochar 2 one room forty square metres  floor sixth/tenth  Sale-69000$ One bedroom studio apartment Kochar Qajaznuni crossroad currently sale It cover area occupies th floor building The apartment newly renovated Local heating system installed An open balcony available The apartment sale together furniture home appliance It also storage space The bathroom kitchen equipped necessary appliance The building also elevator The entryway newly renovated ,2.0,0.9341999888420105,Sale,69000.0,$,69000.0
384,Vardanants,sixty-three square metres,40.17543057,44.5202394,2 room,  3/10 ,"Sale-105,000$",Vardanants two room sixty-three square metres  floor third/tenth  Sale-105000$ This bedroom apartment occupying rd floor story building located Vardanants street Downtown Yerevan currently sale All utility available This home renovated furnished Outdoor parking available ,2.0,0.9742000102996826,Sale,105000.0,$,105000.0
385,Northern av ,two hundred and fifty-eight square metres,40.183485,44.514505,5 room,"  5/8 , new construction ","Sale-980,000$",Northern av  five room two hundred and fifty-eight square metres  floor fifth/eighth   new construction  Sale-980000$ bedroom spacious apartment Northern Avenue currently sale It cover area occupies th floor new building The apartment newly renovated according european standard unique design Centralized heating air conditioning system installed There living room kitchen bedroom bathroom office room open balcony nice view The bedroom office room entrance balcony An underground parking spot available The apartment sale together kitchen furniture inbuilt wardrobe ,2.0,0.9865000247955322,Sale,980000.0,$,980000.0
