addr,rooms,ruler,floor,price,descr
Փ․ Բուզանդ 13,2 սենյակ,60 մ2," հարկ 13/14 , նորակառույց ", Վարձակալություն - 700 $/ամիս ," Վարձով է տրվում 2 սենյականոց բնակարան` 60 ք.մ. մակերեսով, որը գտնվում է Բուզանդ փողոցում՝ 14 հարկանի նորակառույց շենքի 13-րդ հարկում: Բնակարանը կապիտալ եվրո վերանորգված է։ Տեղադրված է երկաթյա դուռ, եվրո պատուհաններ, հատակը ծածկված է լամինատով: Ջեռուցման համակարգը կենտրոնացված է, հովացումը կատարվում է օդորակչով։ Սանհանգույցը և խոհանոցը պատված են եվրոպական արտադրության սալիկներով, սանհանգույցը հագեցած է սանտեխնիկայով: Բնակարանը կահավորված է հարմարավետ և գեղեցիկ կահույքով։ Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները, ժամանցի վայրերը։ "
"Նալբանդյան 7/1, բն. 49",3 սենյակ,82 մ2," հարկ 2/10 , նորակառույց ", Վարձակալություն - 650 $/ամիս ," Նալբանդյան և Արամի փողոցմերի խաչմերուկում՝ Հանրապետության Հրապարակից քիչ հեռու՝ Սախարովի Հրապարակի մոտ, վարձով է տրվում երեք սենյականոց բնակարան։ Այն գտնվում է 9 հարկանի բնակելի նորակառույց շենքի 2-րդ հարկում։ Վերջերս է ենթարկվել եվրոպական ստանդարտներին համապատասխան վերանորոգման և դեռևս չի բնակեցվել: Տեղադրված է երկաթյա դուռ, հատակը ծածկված է մանրահատակով: Ջեռուցվում է անհատական ջեռուցման համակարգով: Սանհանգույցը պատված է իսպանական սալիկներով: Անցկացված է ինտերնետ կապ: Լի է ներկառուցված պահարաններով թե՛ միջանցքում, թե՛ խոհանոցում: Թաղամասում գործում է 24 ժամյա ջրամատակարարում, բնական գազ: Ավտոմեքենաների համար հատկացված են բացօթյա կայանատեղեր: Վարձակալության ողջ ընթացում Ձեր տրմադրության տակ կլինի ողջ անհրաժեշտ տեխնիկան և կահույքը: Հարևանությամբ կան նաև այլ խանութներ, սրճարաններ, մետրո կայարան, դպրոց և մանկապարտեզ: "
"Նալբանդյան 7, բն. 4",2 սենյակ,37 մ2, հարկ 2/5 , Վարձակալություն - 500 $/ամիս ," Երկարաժամկետ վարձակալության և օրավարձով է տրվում կապիտալ վերանորոգված երկու սենյականոց բնակարան Նալբանդյան փողոցում՝ ""VTB"" բանկի դիմաց։ Այն գտնվում է հինգ հարկանի քարե շենքի երկրորդ հարկում։ Ապահովված է բոլոր կոմունալ հարմարություններով։ Կահավորված է հարմարավետ և ժամանակակաից կահույքով, հագեցած է անհրաժեշտ տեխնիկայով։ Սենյակները լուսավոր են և արևոտ։ Մոտակայքում են գտնվում Հանրապետության հրապարակը, Վերնիսաժը, բազմաթիվ խանութներ, ժամանցի և հանգստի վայրեր։ "
Ե. Կողբացի 3Ա,1 սենյակ,45 մ2, հարկ 9/9 , Վարձակալություն - 550 $/ամիս ," Վարձակալության է տրվում 1 ձևափոխված 2 սենյականոց հարմարավետ բնակարան՝ 45 ք.մ. մակերեսով, որը գտնվում է Ե. Կողբացի փողոցում` Սրբ. Զորավոր եկեղեցու բակում, 9 հարկանի պանելային շենքի 9-րդ հարկում: Այն կապիտալ վերանորոգված է և չբնակեցված։ Ջեռուցվում է գազի կաթսայի միջոցով։ Սանհանգույցը սալիկապատված է, հագեցած է սանտեխնիկայով: Բնակարանը ապահովված է կահույքով և տեխնիկայով։ Մոտակայքում կան բազմաթիվ խանութներ, ժամանցի վայրեր։ "
Ալեք Մանուկյան փողոց 8/1,4 սենյակ,120 մ2," հարկ 7/12 , նորակառույց ", Վարձակալություն - 900 $/ամիս ," Երկարաժամկետ վարձակալությամբ կամ օրավարձով է տրվում 4 սենյականոց ընդարձակ և լուսավոր բնակարան՝ 120 ք.մ. մակերեսով, որը գտնվում է Ա. Մանուկյան փողոցում՝ Գնունի շուկայի հարևանությամբ, 12 հարկանի նորակառույց շենքի 7-րդ հարկում: Այն կապիտալ նորոգված է։ Ջեռուցվում է գազի կաթսայի միջոցով։ Բնակարանը ապահովված է կահույքով, տեխնիկայով, սպասքով և անկողնային պարագաներով։ Առկա է կաբելային հեռուստատեսություն և ինտերնետ։ Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները, հանգստի և ժամանցի վայրեր և այլն։ "
Եկմալյան 1,4 սենյակ,120 մ2," հարկ 7/15 , նորակառույց "," Վարձակալություն - 1,600 $/ամիս "," Oրավարձով է տրվում 4 սենյականոց հարմարավետ բնակարան՝ 120 ք.մ. մակերեսով, որը գտնվում է Եկմալյան փողոցում՝ 15 հարկանի նորակառույց շենքի 7-րդ հարկում։ Բնակարանը կապիտալ վերանորոգված է։ Ջեռուցվում է գազի կաթսայի միջոցով։ Սանհանգույցը հագեցած է սանտեխնիկայով: Բնակարանը կահավորված է և ապահովված անհրաժեշտ տեխնիկայով, սպասքով և անկողնային պարագաներով։ Կա կաբելային հեռուստատեսություն և ինտերնետ։ Մոտակայքում են գտնվում բոլոր հանգստի և ժամանցի վայրերը։ "
Ծարավ Աղբյուր 55/20,2 սենյակ,86 մ2," հարկ 11/14 , նորակառույց "," Վարձակալություն - 200,000 Դ/ամիս "," Երկարաժամկետ վարձակալությամբ է տրվում 2 սենյականոց ընդարձակ բնակարան՝ 86 ք.մ. մակերեսով, որը գտնվում է Ծարավ Աղբյուր փողոցում՝ 14 հարկանի նորակառույց շենքի 11-րդ հարկում։ Բնակարանը եվրո նորոգված և չբնակեցված է։ Ջեռուցվում է գազի կաթսայի միջոցով, հատակը ծածկված է լամինատով։ Սանհանգույցը սալիկապատված և հագեցած է սանտեխնիկայով: Բնակարանը կահավորված է և հագեցած տեխնիկայով: Կա ինտերնետ: Շենքում տեղադրված է դոմոֆոն: Բնակարանն ունի երկու բացօթյա պատշգամբ՝ գեղեցիկ տեսարանով։ Նոյեմբերի 1-ից բնակարանը կազատվի: "
Սայաթ-Նովայի պող.,5 սենյակ,400 մ2, հարկ 5/5 ," Վարձակալություն - 3,000 $/ամիս "," Սայաթ-Նովա պողոտայի և Տերյան փողոցի խաչմերուկում` օրավարձով կամ երկարաժամկետ վարձակալության է տրվում երկհարկանի պենտհաուս, որի ընդհանուր մակերեսը կազմում է 400 քմ և գտնվում է 5 հարկանի քարե շենքի 5-րդ և 6-րդ հարկերում: Շենքն ունի պատմամշակութային արժեք, կառուցված է հատուկ նախագծով, ունի վերելակ: Հիմնովին եվրովերանորոգված է և դեռևս չբնակեցված: Տեղադրված է երկաթե դուռ, վիտրաժային պատուհաններ, հատակը ծածկված է բարձրորակ մանրահատակով: Ունի ջեռուցման և հովացման անհատական համակարգ: 1-ին հարկում տեղակայված են ընդարձակ և լուսավոր 2 հյուրասենյակները, խոհանոցը, սանհանգույցը: 2-րդ հարկում 4 ննջասենյակները, 2 սանհանգույցը և 2 բացօթյա պատշգամբները: Ննջասենյակներից մեկը մաստերբեդրում է` ունի կից սանհանգույց և զգեստասենյակ: Տերասայից բացվում է տեսարան դեպի Կարապի լիճ, Օպերայի և Բալետի թատրոն: Բնակարանը կահավորված է թանկարժեք կահույքով և բարձրորակ տեխնիկայով, ապահովված է սպասքով և բոլոր անհրաժեշտ պարագաներով: Կա ինտերնետ և կաբելային հեռուստատեսություն: Մոտակայքում են գտնվում բոլոր ենթակառուցվացքները, բրենդային խանութները, բանկերը և ժամանցի վայրերը: "
Թումանյան 35բ,3 սենյակ,110 մ2, հարկ 1/7 , Վարձակալություն - 700 $/ամիս ," Ամսավարձով կամ օրավարձով է տրվում 3 սենյականոց բնակարան՝ 110 ք.մ. մակերեսով, որը գտնվում է Թումանյան փողոցում` Սբ. Զորավոր եկեղեցու հարևանությամբ, 7 հարկանի քարե շենքի 1-ին հարկում: Բնակարանը կապիտալ վերանորոգված է։ Բոլոր սենյակները կահավորված են որակյալ և նորաոճ կահույքով և համալրված ժամանակակից տեխնիկայով։ Ջեռուցումը գազի կաթսայի միջոցով է իրականացվում, ինչպես նաև տեղադրված է օդորակիչներ։ Սանհանգույցները սալիկապատված են և հագեցած են սանտեխնիկայով: Բոլոր ննջասենյակներն ունեն իրենց առանձին սանհանույցները: Մոտակայքում են գտնվում բոլոր տեսակի ժամանցի վայրերը, խանութները, Օպերայի թատրոնը: "
Սայաթ-Նովայի պող.,5 սենյակ,260 մ2, հարկ 3/9 ," Վարձակալություն - 1,200 $/ամիս "," Երկարաժամկետ վարձակալության է տրվում 260 քմ մակերեսով ընդարձակ գեղեցիկ, հարմարավետ 5 սենյականոց բնակարան, որը գտնվում է 9 հարկանի` հատուկ նախագծի պանելային շենքի 3-րդ հարկում՝ Սայաթ Նովա պողոտայում: Բնակարանը կապիտալ վերանորոգված է, տեղադրված են անհատական ջեռուցման և օդորակման համակարգեր, եվրո պատուհաններ, հատակը ծածկված է որակյալ մանրահատակով և սալիկներով: Խոհանոցը և 3 սանհանգույցը, որոնցից մեկն ունի ջակուզի, սալիկապատված են բարձրորակ սալիկներով և հագեցած են սանտեխնիկայով: Սանհանգույցներից մեկը կից է ննջասենյակին: Բնակարանը կահավորված է թանկարժեք կահույքով և հագեցած անհրաժեշտ տեխնիկայով և բոլոր պարագաներով, կա ինտերնետ: Բնակարանը բաղկացած է հյուրասենյակից, 4 ննջասենյակից, աշխատասենյակից, կա զգեստասենյակ, ներկառուցված պահարաններ և 3 բացօթյա պատշգամբ: Մուտքի մոտ տեղադրված է դոմոֆոն: Բակում կա քարե ավտոտնակ: Մոտակայքում կան բազմաթիվ խանութներ, հանգստի և ժամանցի տարբեր վայրեր: "
Փ․ Բուզանդ 17,2 սենյակ,67 մ2," հարկ 7/17 , նորակառույց ", Վարձակալություն - 750 $/ամիս ," Երկարաժամկետ վարձակալությամբ կամ օրավարձով է տրվում 2 սենյականոց հարմարավետ բնակարան՝ 67 ք.մ. մակերեսով, որը գտնվում է Բուզանդ փողոցում՝ Հանրապետության հրապարակի հարևանությամբ, 17 հարկանի նորակառույց շենքի 7-րդ հարկում։ Բնակարանը եվրո նորոգված է։ Ջեռուցման և հովացման համակարգը կենտրոնացված է։ Սանհանգույցը հագեցած է սանտեխնիկայով: Բնակարանը կահավորված է և ապահովված անհրաժեշտ տեխնիկայով, սպասքով և անկողնային պարագաներով։ Կա կաբելային հեռուստատեսություն և ինտերնետ։ Մոտակայքում են գտնվում բոլոր հանգստի և ժամանցի վայրերը։ Կարճաժամկետ վարձակալության դեպքում գինը փոփոխվում է։ "
"Հին Երևանցու 2, բն. 94",3 սենյակ,75 մ2," հարկ 9/11 , նորակառույց ", Վարձակալություն - 650 $/ամիս ," Հին Երևանցի փողոցի վրա՝ Հյուսիսային պողոտայի հարևանությամբ վարձով կամ օրավարձով է տրվում այս 3 սենյականոց կապիտալ վերանորոգված բնակարանը, որը գտնվում է 11 հարկանի նորակառույց շենքի 9-րդ հարկում: Ապահովված է շուրջօրյա ջրամատակարարմամբ և գազամատակարարմամբ։ Ընդհանուր մակերեսը կազմում է 75 ք.մ.։ Ապահովված է նաև կահույքով և տեխնիկայով։ Բակում նախատեսված է ազատ տարածություն մեքենաներ կայանելու համար։ Մոտակայքում են գտնվում բոլոր անհարժեշտ խանութները, հանգստի և ժամանցի վայրեր։ "
Տերյան,2 սենյակ,60 մ2," հարկ 14/16 , նորակառույց ", Օրավարձ - 35 $/օր ," Երկարաժամկետ վարձակալությամբ կամ օրավարձով է տրվում 2 սենյականոց բնակարան՝ 60 ք.մ. մակերեսով, որը գտնվում է Տերյան և Աղայան փողոցների խաչմերուկում, 16 հարկանի պանելային շենքի 14-րդ հարկում: Այն կապիտալ վերանորոգված և դեռևս չբնակեցված է։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, օդորակիչ, հատակը ծածկված է պրեսգրանիտով: Ջեռուցվում է գազի կաթսայի միջոցով։ Սանհանգույցը պատված է սալիկներով, հագեցած է սանտեխնիկայով: Բնակարանը ապահովված է կահույքով, տեխնիկայով, սպասքով և անկողնային պարագաներով։ Բնակարանն ունի բաց պատշգամբ՝ գեղեցիկ տեսարանով։ Առկա է կաբելային հեռուստատեսություն և ինտերնետ։ Մոտակայքում են գտնվում բոլոր խանութները և ժամանցի վայրերը։ "
Մոսկովյան 28,1 սենյակ,40 մ2, հարկ 6/7 ," Օրավարձ - 12,000 Դ/օր "," Օրաարձով է տրվում 1 սենյականոց բնակարան 40 ք.մ. մակերեսով, որը գտնվում է Մոսկովյան փողոցում՝ 7 հարկանի շենքի 6-րդ հարկում: Բնակարանը կապիտալ վերանորգված է։ Տեղադրված է երկաթյա դուռ, եվրոպատուհաններ, օդորակիչ, հատակը ծածկված է լամինատով: Ապահովված է շուրջօրյա ջրամատակարարմամբ և գազամատակարարմամբ։ Առկա է ինտերնետ և կաբելային հեռուստատեսություն։ Տեղադրված է գազի կաթսա։ Սանհանգույցը և խոհանոցը պատված են սալիկներով, հագեցած է սանտեխնիկայով: Բոլոր սենյակները և խոհանոցը կահավորրված են։ Լի է ներկառուցված պահարաններով թե՛ միջանցքում, թե՛ խոհանոցում: Ավտոմեքենաների համար հատկացված են բացօթյա կայանատեղեր: Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները և ժամանցի վայրերը։ Շենքում գործում է անխափան վերելակ։ "
Վերին Անտառային,2 սենյակ,48 մ2," հարկ 4/5 , նորակառույց ", Օրավարձ - 60 $/օր ," Օրավարձով է տրվում չբնակեցված 2 սենյականոց բնակարան` 48 քմ մակերեսով, որը գտնվում է Վերին Անտառային փողոցում, 5 հարկանի նորակառույց շենքի 4-րդ հարկում։ Բնակարանը կապիտալ վերանորոգված է, տեղադրված են անհատական ջեռուցման և օդորակման համակարգեր, պանորամային պատուհաններ, հատակը ծածկված է սալիկներով, սանհանգույցը սալիկապատված է որակյալ սալիկներով և հագեցած է սանտեխնիկայով։ Առկա է բաց պատշգամբ՝ գեղեցիկ տեսարանով։ Բնակարանը կահավորված է և ապահովված կենցաղային տեխնիկայով և բոլոր անհրաժեշտ պարագաներով։ Շենքում գործում է վերելակ, կա անվտանգության համակարգ։ Մոտակայքում են խանութները, բանկերը, դպրոցն ու սրճարանները։ Գործակալների հետ կհամագործակցեմ միակողմանի` միայն վարձակալի կողմից վճարման տարբերակով: Գործակալություն է: "
Աբովյան 25,3 սենյակ,80 մ2, հարկ 2/5 ," Օրավարձ - 15,000 Դ/օր "," Վարձով է տրվում 3 սենյականոց բնակարան՝ 80 ք.մ. մակերեսով, որը գտնվում է Մոսկովյան և Աբովյան փողոցների խաչմերուկում՝ 5 հարկանի քարե շենքի 2-րդ հարկում: Բնակարանը կապիտալ նորոգված է։ Տեղադրված է երկաթյա դուռ, եվրո պատուհաններ, հատակը ծածկված է մանրահատակով: Ջեռուցվումն իրականացվում է գազի կաթսայի միջոցով, տեղադրված է նաև օդորակիչ։ Սանհանգույցը և խոհանոցը պատված են եվրոպական արտադրության սալիկներով, հագեցած է սանտեխնիկայով: Կա կաբելային հեռուստատեսություն և ինտերնետ։ "
Նալբանդյան,1 սենյակ,40 մ2, հարկ 4/5 ," Օրավարձ - 14,000 Դ/օր "," Օրավարձով է տրվում 1 սենյականոց բնակարան 40 քմ մակերեսով, որը գտնվում է Նալբանդյան փողոցում, 5 հարկանի քարե շենքի 4-րդ հարկում: Բնակարանը կապիտալ վերանորգված է։ Տեղադրված է երկաթյա դուռ, եվրոպատուհաններ, հատակը ծածկված է բարձրորակ մանրահատակով: Ջեռուցումն ու հովացումը կատարվում է օդորակիչի մոջոցով: Սանհանգույցը և խոհանոցը պատված են եվրոպական արտադրության սալիկներով, հագեցած է սանտեխնիկայով: Բնակարանը ստուդիո ոճի է, կահավորված է ժամանակակից կահույքով և համալրված է անհրաժեշտ տեխնիկայով: Առկա է բաց պատշգամբ: Մոտակայքում են գտնվում բոլոր խանութները, բանկերը և ժամանցի վայրերը։ "
Պուշկին,3 սենյակ,71 մ2, հարկ 8/10 ," Օրավարձ - 15,000 Դ/օր "," Օրավարձով է տրվում 3 սենյականոց դուպլեքս բնակարան 71 քմ մակերեսով Պուշկին և Փարպեցի փողոցների խաչմերուկի մոտակայքում՝ 10 հարկանի շենքի 8-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է, տեղադրված են ջեռուցման և օդորակման անհատական համակարգեր, հատակը ծածկված է բարձրորակ լամինատով և սալիկներով: Լոգասենյակները և խոհանոցը սալիկապատված են և հագեցած սանտեխնիկայով: Բնակարանը հագեցած է կահույքով և կենցաղային տեխնիկայով: Շենքում գործում է անխափան վերելակ: Մոտակայքում են գտնվում խանութներ և ժամանցի վայրեր: "
Վարդանանց,2 սենյակ,45 մ2, հարկ 4/4 ," Օրավարձ - 14,000 Դ/օր "," Օրավարձով է տրվում 2 սենյականոց բնակարան` 45 քմ մակերեսով, որը գտնվում է Վարդանանց փողոցում, 4 հարկանի քարե շենքի 4-րդ հարկում։ Բնակարանը կապիտալ վերանորոգված է, տեղադրված են անհատական ջեռուցման և օդորակման համակարգեր, եվրո պատուհաններ, հատակը ծածկված է բարձրորակ լամինատով և սալիկներով, սանհանգույցը սալիկապատված է եվրոպական արտադրության սալիկներով և հագեցած է սանտեխնիկայով։ Սենյակները և խոհանոցը կահավորված են ժամանակակից ոճով և հագեցած կենցաղային տեխնիկայով և բոլոր պարագաներով։ Բնակարանն ունի բաց պատշգամբ։ Մոտակայքում է գտնվում Սախորովի հրապարակը, Վարդանանց բժշկական կենտրոնը, Վերնիսաժը, խանութները, բանկերը, սրճարաններն ու ժամանցի վայրերը։ "
Անտառային 160/12,2 սենյակ,55 մ2," հարկ 2/5 , նորակառույց ", Օրավարձ - 35 $/օր ," Անտառային փողոցի վրա՝ Կասկադի և Շառլ Ազնավուրի տուն թանգարանի հարևանությամբ, վարձով է տրվում երկու սենյականոց բնակարան: Այն գտնվում է հինգ հարկանի բնակելի նորակառույց շենքի երրորդ հարկում: Բնակարանը կապիտալ վերանորոգված է՝ վերջին եվրոպական ստանդարտներին համապատասխան: Բոլոր անհրաժեշտ կոմունիակցիաները անցկացված են, տեղադրված է ջեռուցման անհատական համակարագ: Բոլոր սենյակները և խոհանոցը կահավորված են հարամարավետ և ժամանակակից կահույքով, հագեցած են էլեկտրական տեխնիակյով: Ավտոմեքենաների համար առկա է բացօթյա կայանատեղի: Մոտակայքում կարող եք գտնել այլ բազմաթիվ խանութներ, ժամանացի վայրեր և մշակութային կենտրոններ: "
Նալբանդյան 50,2 սենյակ,55 մ2, հարկ 4/5 ," Օրավարձ - 12,000 Դ/օր "," Նալբանդյան և Արամի փողոցմերի խաչմերուկից և Հանրապետության Հրապարակից քիչ հեռու՝ Սախարովի Հրապարակի մոտ, վարձով է տրվում երկու սենյականոց բնակարան։ Այն գտնվում է հինգ հարկանի բնակելի շենքի 4-րդ հարկում, շենքում գործում է վերելակ։ Բնակարանը կապիտալ վերանորոգված է։ Տեղադրված է երկաթյա դուռ, եվրո պատուհաններ, օդորակիչ, հատակը ծածկված է մանրահատակով: Ջեռուցվում է անհատական ջեռուցման համակարգով: Սանհանգույցը պատված է իսպանական սալիկներով: Բնակարանը կահավորված է և ապահովված է անհրաժեշտ տեխնիկայով։ Ավտոմեքենաների համար հատկացված են բացօթյա կայանատեղեր: Հարևանությամբ կան խանութներ, սրճարաններ, մետրո կայարան, դպրոց և մանկապարտեզ: "
Սայաթ-Նովայի պող.,2 սենյակ,80 մ2, հարկ 8/10 ," Օրավարձ - 12,000 Դ/օր "," Սայաթ–Նովա փողոցում՝ ""Անի"" հյուրանոցի հարևանությամբ, օրավարձով է տրվում 2 սենյականոց լուսավոր և ընդհարձակ բնակարան։ Այն գտնվում է 10 հարկանի բնակելի շենքի 8-րդ հարկում։ Բնակարանը կապիտալ վերանորոգված է, ապահովված է բոլոր կոմունալ հարմարություններով։ Տեղադրված է անհատական ջեռուցման համակարգ, օդորակիչ։ Կահավորված է ժամանակակից և հարմարավետ կահույքով, տեղադրված է անհրաժեշտ տեխնիկան։ Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները, ժամանցի և հանգստի վայրերը։ "
Ագաթանգեղոսի 7,1 սենյակ,40 մ2, հարկ 6/10 ," Օրավարձ - 12,000 Դ/օր "," ""Ռոսիա"" տոնավաճառի դիմաց, տաս հարկանի շենքի 6-րդ հարկում, առանց միջնորդի օրավարձով տրվում է մեկ սենյականոց բնակարան: Այս լուսավոր և արևկող բնակարանը կահավորված է և հագեցած անհրաժեշտ տեխնիկայով: Սահանգույցը սալիկապատ է, ապահովված է մշտական տաք և սառը ջրով, անցկացված է բնական գազ: Մուտքի դուռը երկաթյա է, իսկ հատակ է ծածկված է մանրահատակով: Բնակարնը ունի բաց պատշգամբ, որտեղից բացվում է տեսարան դեպի փողոց: Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները և ՞Զորավար Անդրանիկ՞ մետրոյի կայարանը: "
Մաշտոցի պողոտա 6,3 սենյակ,50 մ2, հարկ 1/4 ," Օրավարձ - 15,000 Դ/օր "," Օրավարձով է տրվում 3 սենյականոց բնակարան` 50 քմ մակերեսով, որը գտնվում է Մաշտոցի պողոտայում՝ «Երևան Սիթի»-ի հարևանությամբ, 4 հարկանի շենքի 1-ին հարկում։ Բնակարանը կապիտալ վերանորոգված է, տեղադրված են անհատական ջեռուցման և օդորակման համակարգեր, եվրո պատուհաններ, հատակը ծածկված է լամինատով և պրեսգրանիտով։ Սանհանգույցները և խոհանոցը սալիկապատված են եվրոպական արտադրության սալիկներով և հագեցած են սանտեխնիկայով։ Բնակարանը ապահովված է բոլոր հարմարություններով, կահավորված է և համալրված ժամանակակից տեխնիկայով և բոլոր պարագաներով։ Մոտակայքում է գտնվում պարսկական մզկիթը, բանկերը, խանութները, դեղատները, ժամանցի վայրերն ու տրանսպորտի կանգառները։ "
Տերյան,2 սենյակ,45 մ2, հարկ 4/5 ," Օրավարձ - 15,000 Դ/օր "," Օրավարձով է տրվում 2 սենյականոց գեղեցիկ և հարմարավետ բնակարան` 45 քմ մակերեսով, որը գտնվում է Տերյան փողոցում՝ Հյուսիսային պողոտայի հարևանությամբ՝ 5 հարկանի շենքի 4-րդ հարկում։ Բնակարանը կապիտալ վերանորոգված է, տեղադրված են անհատական ջեռուցման և օդորակման համակարգեր, եվրո պատուհաններ, հատակը ծածկված է բարձրորակ լամինատով։ Սանհանգույցը և ստուդիո խոհանոցը սալիկապատված են և ապահովված կահույքով։ Բնակարանն ամբողջովին կահավորված է և հագեցած ժամանակակից տեխնիկայով և բոլոր պարագաներով։ Բաց պատշգամբից բացվում է գեղեցիկ տեսարան։ Շենքն ունի դոմոֆոն։ Մոտակայքում են գտնվում բանկերը, խանութները, դեղատները, դպրոցները, ժամանցի վայրերն ու տրանսպորտի կանգառները։ "
Արգիշտի,2 սենյակ,50 մ2," հարկ 9/14 , նորակառույց "," Օրավարձ - 15,000 Դ/օր "," Օրավարձով է տրվում 2 սենյականոց գեղեցիկ ու հարմարավետ բնակարան` 50 քմ մակերեսով, որը գտնվում է Արգիշտի փողոցում՝ քաղաքապետարանի հարևանությամբ՝ 14 հարկանի նորակառույց շենքի 9-րդ հարկում։ Բնակարանը կապիտալ վերանորոգված է, տեղադրված են անհատական ջեռուցման և օդորակման համակարգեր, եվրո պատուհաններ, հատակը ծածկված է բարձրորակ լամինատով։ Սանհանգույցը սալիկապատված է և ապահովված սանտեխնիկայով։ Բնակարանն ամբողջությամբ կահավորված է և հագեցած ժամանակակից տեխնիկայով և անհրաժեշտ բոլոր պարագաներով։ Բաց պատշգամբից բացվում է գեղեցիկ տեսարան։ Շենքում գործում է 2 վերելակ, կա դոմոֆոն։ Մոտակայքում են գտնվում կրկեսը, բանկերը, խանութները, դեղատները, դպրոցները, ժամանցի վայրերն ու տրանսպորտի կանգառները։ "
Թումանյան,2 սենյակ,60 մ2, հարկ 2/5 ," Օրավարձ - 22,000 Դ/օր "," Թումանյան փողոցում՝ քաղաքի լավագույն հատվածներից մեկում օրավարձով է տրվում 2 սենյականոց բնակարան` 60 քմ մակերեսով, որը գտնվում է 5 հարկանի քարե շենքի 2-րդ հարկում: Բնակարանը կապիտալ վերանորոգված է, տեղադրված են ջեռուցման և հովացման անհատական համակարգեր, եվրո պատուհաններ, հատակը ծածկված է բարձրորակ լամինատով և պրեսգրանիտով: Սանհանգույցը սալիկապատված է և հագեցած որակյալ սանտեխնիկայով: Առկա է փակ պատշգամբ: Բնակարանը նրբաոճ և հարմարավետ կահավորված է, ապահովված կենցաղային տեխնիկայով և բոլոր անհրաժեշտ պարագաներով: Շենքն ունի դոմոֆոն: Մոտակայքում են գտնվում բոլոր խանութները, բանկերը, սրճարաններն ու ժամանցի վայրերը: "
Զաքյան 3,1 սենյակ,40 մ2, հարկ 2/11 ," Օրավարձ - 15,000 Դ/օր "," Զաքյան փողոցում՝ քաղաքի լավագույն հատվածներից մեկում օրավարձով է տրվում 1 սենյականոց բնակարան` 40 քմ մակերեսով, որը գտնվում է 11 հարկանի պանելային շենքի 2-րդ հարկում: Բնակարանը կապիտալ նորոգված է, տեղադրված մուտքի երկաթե դուռ, եվրոպատուհաններ, օդորակիչ, հատակը ծածկված է մանրահատակով, խոհանոցը և սանհանգույցը սալիկապատված են, հագեցած են սանտեխնիկայով: Բնակարանը հարմարավետ կահավորված է, ապահովված կենցաղային տեխնիկայով: Շենքում գործում է վերելակ, ախպատարը հանված է: Մոտակայքում է գտնվում Հանրապետության հրապարակը, բոլոր խանութները, բանկերը, սրճարաններն ու ժամանցի վայրերը: "
Վարդանանց 14,3 սենյակ,79 մ2, հարկ 5/6 ," Օրավարձ - 14,000 Դ/օր "," Օրավարձով տրվում է 3 սենյականոց բնակարան` 79 քմ մակերեսով, որը գտնվում է 6 հարկանի քարե շենքի 5-րդ հարկում, Վարդանանց փողոցում, Վերնիսաժի և Հանրապետության հրապարակի հարևանությամբ: Բնակարանը կապիտալ նորգված է, տեղադրված է մուտքի երկաթե դուռ, եվրոպատուհաններ, օդորակիչ, անհատական ջեռուցման համակարգ, հատակը ծածկված է պրեսգրանիտով: Սանհանգույցը սալիկապատված է և հագեցած է սանտեխնիկայով, տեղադրված է ջակուզի: Բոլոր սենյակները հարմարավետ կահավորված են, համալրված տեխնիկայով և բոլոր անհրաժեշտ պարագաներով: Կա ինտերնետ և կաբելային հեռուստատեսություն: Առկա է բաց պատշգամբ: Շենքում գործում է վերելակ: Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները, բանկերի մասնաճյուղերը, զբոսայգին և ժամանցի վայրերը։ "
Դեղատան 4,2 սենյակ,40 մ2, հարկ 2/3 ," Օրավարձ - 17,000 Դ/օր "," Օրավարձով է տրվում 2 սենյականոց դուպլեքս բնակարան՝ 40 ք.մ. մակերեսով, որը գտնվում է Դեղատան փողոցում՝ քաղաքի լավագույն հատվածում` 3 հարկանի քարե շենքի 2-րդ հարկում: Շենքը թամանյանական ոճի պատմամշակութային արժեք ներկայացնող կառույց է: Բնակարանը կապիտալ եվրո վերանորոգված է, օգտագործվել է բացառապես բարձրորակ շինանյութ և պարագաներ: Ունի յուրահատուկ դիզայն` լոֆտ ոճի: Տեղադրված է երկաթե դուռ, եվրոպատուհաններ, հատակը ծածկված է թանկարժեք պրեսգրանիտով։ Ջեռուցվում է գազի կաթսայի միջոցով: Սանհանգույցը պատված է սալիկներով և հագեցած բարձրորակ սանտեխնիկայով: Բոլոր սենյակները և խոհանոցը կահավորված են ժամանակակից և նորաձև կահույքով։ Ներքնակները օրթոպեդիկ են և շատ հարմարավետ: Առկա է բացօթյա պատշգամբ` դեպի փողոցը բացվող գեղեցիկ տեսարանով: Կա կաբելային հեռուստատեսություն և ինտերնետ։ Մոտակայքում է գտնվում Հանրապետության հրապարակը, Կոնվերս բանկը և բոլոր ժամանցային վայրերը: "
